B02.01 1  9  0.5  10.5 0.5  37  0.5  3496.5 260.2
B02.02 2  9.5  0.5  10.5 0.5  36.8 0.5  3700 300
B02.03 3  9  1  10  1  37  1  3330 850
B02.04 4  10  0  9  0  37  0  3330 0
B02.05 4  9  0.5  10  0.5  37  0.5  3330 300
B02.06 6  9  1  10  1  36  1  3240 1200
B02.07 6  9.5  0.5  10.5 0.5  36.5 0.5  3640.9 263.2
B02.08 5  9.0  0.5  10.5 0.5  36.5 0.5  3450 50
B02.09 7  37.0 0.5  10.2 0.5  9.0  0.5  3396.6 260
B02.10 7  9.1  0.1  10.5 0.1  36.66 0.27 3502.86 57.1
B02.11 8  32  1  9  0.5  10  0.5  2880 233
B02.12 8  9  0.5  10.5 0.5  36.5 0.5  3400 300
B02.13 9  8.9  0.14 10.2 0.52 36.5 0.21 3313.47 177.8
B02.14 10  9.0  0.1  10.0 0.1  36.7 0.3  3303 3
B02.15 10  9  0.144 10  0.144 37  0.144 3330 73
