#Season   Jul   Aug   Sep   Oct   Nov   Dec   Jan   Feb   Mar   Apr   May   Jun   Tot
1890-91   0.0   0.0   0.0   0.0   0.0   0.0  14.8  11.8  16.0   0.0   0.0   0.0  42.6
1891-92   0.0   0.0   0.0   0.0   0.0   0.0  12.5  14.0  20.3   0.0   0.0   0.0  46.8
1892-93   0.0   0.0   0.0   0.0   1.2   2.5  14.6  35.3   4.5   7.9   0.0   0.0  66.0
1893-94   0.0   0.0   0.0   0.0   0.4  18.5  15.0  21.6   0.0   8.5   0.0   0.0  64.0
1894-95   0.0   0.0   0.0   0.0   6.4  13.5  13.9   8.8   3.8   0.5   0.0   0.0  46.9
1895-96   0.0   0.0   0.0   0.0   0.0   5.2   9.5   9.5  14.5   0.0   0.0   0.0  38.7
1896-97   0.0   0.0   0.0   0.0   2.2   8.6  18.2  10.9   3.3   0.0   0.0   0.0  43.2
1897-98   0.0   0.0   0.0   0.0   8.1   7.8  16.3  11.5   6.0   2.2   0.0   0.0  51.9
1898-99   0.0   0.0   0.0   0.0  17.8   7.5   6.1  30.2   9.3   0.0   0.0   0.0  70.9
1899-00   0.0   0.0   0.0   0.0   0.1   0.0   8.3   9.0   7.6   0.0   0.0   0.0  25.0
1900-01   0.0   0.0   0.0   0.0   0.1   0.8   7.8   8.8   0.0   0.0   0.0   0.0  17.5
1901-02   0.0   0.0   0.0   0.0   0.0  12.6  11.0  13.0   7.5   0.0   0.0   0.0  44.1
1902-03   0.0   0.0   0.0   0.0   0.0  22.8   4.2  14.7   0.3   0.0   0.0   0.0  42.0
1903-04   0.0   0.0   0.0   0.0   0.0  10.6  35.7  16.5   8.9   1.2   0.0   0.0  72.9
1904-05   0.0   0.0   0.0   0.0   0.0  12.0  21.3   8.0   3.6   0.0   0.0   0.0  44.9
1905-06   0.0   0.0   0.0   0.0   0.0   3.5   6.1   6.1  21.9   0.0   0.0   0.0  37.6
1906-07   0.0   0.0   0.0   0.0   1.1  15.5  16.1  25.5   6.6   3.1   0.0   0.0  67.9
1907-08   0.0   0.0   0.0   0.0   0.0   7.0   4.3   9.3   4.8   0.8   0.0   0.0  26.2
1908-09   0.0   0.0   0.0   0.0   0.0   3.5  11.2   2.3   3.1   0.0   0.0   0.0  20.1
1909-10   0.0   0.0   0.0   0.0   0.0  12.3  11.9  12.6   0.2   0.0   0.0   0.0  37.0
1910-11   0.0   0.0   0.0   0.0   1.4   8.2   0.7  19.5   3.1   7.7   0.0   0.0  40.6
1911-12   0.0   0.0   0.0   0.0   0.3   3.7  17.8   0.2   9.1   0.5   0.0   0.0  31.6
1912-13   0.0   0.0   0.0   0.0   0.3   9.2   0.3   7.7   0.5   1.4   0.0   0.0  19.4
1913-14   0.0   0.0   0.0   0.4   0.0   0.9  10.3  20.6   5.2   2.0   0.0   0.0  39.4
1914-15   0.0   0.0   0.0   0.0   0.0   4.1   7.0   5.1   0.0   6.1   0.0   0.0  22.3
1915-16   0.0   0.0   0.0   0.0   0.2   6.7   4.8  30.3  33.0   4.2   0.0   0.0  79.2
