2016-2017 	2016-12-07 	Adult M 4.5 	569 	0 	4.2 	0 	US SQUASH
2016-2017 	2016-11-30 	Adult M 4.5 	584 	0 	4.19 	0 	US SQUASH
2016-2017 	2016-11-23 	Adult M 4.5 	563 	0 	4.2 	0 	US SQUASH
2016-2017 	2016-11-16 	Adult M 4.5 	575 	0 	4.19 	0 	US SQUASH
2016-2017 	2016-11-09 	Adult M 4.5 	639 	0 	4.17 	0 	US SQUASH
2016-2017 	2016-11-02 	Adult M 4.5 	600 	0 	4.18 	0 	US SQUASH
2016-2017 	2016-10-26 	Adult M 4.5 	792 	0 	4.18 	0 	US SQUASH
2016-2017 	2016-10-19 	Adult M 4.5 	455 	0 	4.23 	0 	US SQUASH
2016-2017 	2016-10-12 	Adult M 4.5 	429 	0 	4.24 	0 	US SQUASH
2016-2017 	2016-10-05 	Adult M 4.5 	447 	0 	4.23 	0 	US SQUASH
2016-2017 	2016-09-28 	Adult M 4.5 	432 	0 	4.24 	0 	US SQUASH
2015-2016 	2016-09-21 	Adult M 4.5 	584 	0 	4.24 	0 	US SQUASH
2015-2016 	2016-09-14 	Adult M 4.5 	566 	0 	4.25 	0 	US SQUASH
2015-2016 	2016-09-07 	Adult M 4.5 	559 	0 	4.25 	0 	US SQUASH
2015-2016 	2016-08-31 	Adult M 4.5 	557 	0 	4.25 	0 	US SQUASH
2015-2016 	2016-08-24 	Adult M 4.5 	564 	0 	4.25 	0 	US SQUASH
2015-2016 	2016-08-17 	Adult M 4.5 	542 	0 	4.26 	0 	US SQUASH
2015-2016 	2016-08-11 	Adult M 4.5 	542 	0 	4.26 	0 	US SQUASH
2015-2016 	2016-08-11 	Adult M 4.5 	543 	0 	4.26 	0 	US SQUASH
2015-2016 	2016-08-10 	Adult M 4.5 	548 	0 	4.26 	0 	US SQUASH
2015-2016 	2016-08-03 	Adult M 4.5 	547 	0 	4.26 	0 	US SQUASH
2015-2016 	2016-07-27 	Adult M 4.5 	541 	0 	4.26 	0 	US SQUASH
2015-2016 	2016-07-20 	Adult M 4.5 	541 	0 	4.26 	0 	US SQUASH
2015-2016 	2016-07-06 	Adult M 4.5 	545 	0 	4.26 	0 	US SQUASH
2015-2016 	2016-06-29 	Adult M 4.5 	547 	0 	4.26 	0 	US SQUASH
2015-2016 	2016-06-22 	Adult M 4.5 	541 	0 	4.26 	0 	US SQUASH
2015-2016 	2016-06-15 	Adult M 4.5 	559 	0 	4.25 	0 	US SQUASH
2015-2016 	2016-06-08 	Adult M 4.5 	552 	0 	4.25 	0 	US SQUASH
2015-2016 	2016-06-02 	Adult M 4.5 	552 	0 	4.25 	0 	US SQUASH
2015-2016 	2016-06-01 	Adult M 4.5 	540 	0 	4.25 	0 	US SQUASH
2015-2016 	2016-05-25 	Adult M 4.5 	514 	0 	4.26 	0 	US SQUASH
2015-2016 	2016-05-18 	Adult M 4.5 	535 	0 	4.25 	0 	US SQUASH
2015-2016 	2016-05-11 	Adult M 4.5 	510 	0 	4.26 	0 	US SQUASH
2015-2016 	2016-05-04 	Adult M 4.5 	485 	0 	4.27 	0 	US SQUASH
2015-2016 	2016-04-27 	Adult M 4.5 	519 	0 	4.26 	0 	US SQUASH
2015-2016 	2016-04-20 	Adult M 4.5 	521 	0 	4.26 	0 	US SQUASH
2015-2016 	2016-04-13 	Adult M 4.5 	511 	0 	4.26 	0 	US SQUASH
2015-2016 	2016-04-06 	Adult M 4.5 	496 	0 	4.27 	0 	US SQUASH
2015-2016 	2016-03-30 	Adult M 4.5 	497 	0 	4.27 	0 	US SQUASH
2015-2016 	2016-03-23 	Adult M 4.5 	479 	0 	4.28 	0 	US SQUASH
2015-2016 	2016-03-16 	Adult M 4.5 	471 	0 	4.28 	0 	US SQUASH
2015-2016 	2016-03-09 	Adult M 4.5 	488 	0 	4.27 	0 	US SQUASH
2015-2016 	2016-03-02 	Adult M 4.5 	481 	0 	4.27 	0 	US SQUASH
